Image,Expert01,Expert02
qc_005_S_0602_20080716_redskull_bison,,Fail
qc_005_S_0602_20080818_redskull_bison,Fail,Fail
qc_005_S_0602_20110216_redskull_bison,,Fail
qc_005_S_0610_20060621_redskull_bison,,Fail
qc_005_S_0610_20070209_redskull_bison,,Pass
qc_005_S_0610_20070809_redskull_bison,,Pass
qc_005_S_0610_20080715_redskull_bison,,Pass
qc_005_S_0610_20090806_redskull_bison,,Fail
qc_005_S_0610_20110127_redskull_bison,,Fail
qc_005_S_0610_20111129_redskull_bison,,Fail
qc_005_S_0814_20060830_redskull_bison,,Pass
qc_005_S_0814_20060920_redskull_bison,,Fail
qc_005_S_0814_20070330_redskull_bison,,Fail
qc_005_S_0814_20070405_redskull_bison,,Pass
qc_005_S_0814_20071011_redskull_bison,,Fail
qc_005_S_0814_20071127_redskull_bison,Pass,Pass
qc_005_S_0814_20080923_redskull_bison,,Pass
qc_005_S_0814_20081008_redskull_bison,,Pass
qc_005_S_0929_20061002_redskull_bison,,Pass
qc_005_S_0929_20070509_redskull_bison,,Pass
qc_005_S_1224_20070123_redskull_bison,,Fail
qc_005_S_1224_20070815_redskull_bison,,Fail
qc_005_S_1224_20080423_redskull_bison,,Fail
qc_005_S_1224_20081006_redskull_bison,,Fail
qc_005_S_1224_20090305_redskull_bison,,Fail
qc_005_S_1224_20100331_redskull_bison,,Fail
qc_005_S_1341_20070307_redskull_bison,,Pass
qc_005_S_1341_20071002_redskull_bison,,Pass
qc_005_S_1341_20080415_redskull_bison,,Pass
qc_005_S_1341_20090403_redskull_bison,,Pass
qc_006_S_0322_20060620_redskull_bison,,Pass
qc_006_S_0484_20060621_redskull_bison,,Pass
qc_006_S_0484_20060913_redskull_bison,,Pass
qc_006_S_0484_20070323_redskull_bison,,Fail
qc_006_S_0498_20060626_redskull_bison,,Fail
qc_006_S_0498_20060919_redskull_bison,,Fail
qc_006_S_0498_20070313_redskull_bison,,Fail
qc_006_S_0498_20070925_redskull_bison,,Fail
qc_006_S_0498_20081002_redskull_bison,,Fail
qc_006_S_0498_20101207_redskull_bison,,Fail
qc_006_S_0498_20111115_redskull_bison,,Fail
qc_006_S_0498_20121001_redskull_bison,,Fail
qc_006_S_0521_20060627_redskull_bison,,Pass
qc_006_S_0547_20060629_redskull_bison,,Pass
