Image,Expert2,Expert1
mri1003_no_name_20110510_104039_2_mri_T1,Pass,Pass
mri1451_no_name_20061115_110308_5_mri_T1,Pass,Pass
mri1431_no_name_20060804_105328_5_mri_T1,Fail,Fail
mri1412_no_name_20070628_104856_4_mri_T1,Fail,Fail
mri1108_no_name_20111007_115348_2_mri_T1,Pass,Pass
mri1141_no_name_20090923_142930_3_mri_T1,Fail,Pass
mri1236_no_name_20120702_124205_2_mri_T1,Warning,Pass
mri1038_no_name_20080707_141113_3_mri_T1,Pass,Pass
mri1243_no_name_20070111_103213_3_mri_T1,Fail,Fail
mri1624_no_name_20090513_141235_3_mri_T1,Pass,Pass
mri1275_no_name_20080401_112153_3_mri_T1,Fail,Fail
mri111_na923186_20120517_135125_28_mri_T1,Pass,Fail
mri1671_no_name_20120323_102159_2_mri_T1,Pass,Pass
mri1869_no_name_20131217_075350_2_mri_T1,Pass,Pass
mri1473_no_name_20070320_115516_5_mri_T1,Fail,Fail
mri1408_no_name_20060213_114512_3_mri_T1,Pass,Pass
mri1502_no_name_20071018_120822_3_mri_T1,Fail,Fail
mri1835_no_name_20130830_085653_2_mri_T1,Warning,Pass
mri1890_4935_20081021_120925_4_mri_T1,Pass,Pass
mri1584_no_name_20101119_131115_4_mri_T1,Pass,Fail
mri105_na613831_20120424_112036_21_mri_T1,Pass,Fail
mri174_no_name_20101115_084222_9_mri_T1,Fail,Fail
mri1459_no_name_20070222_141723_4_mri_T1,Fail,Fail
mri1434_no_name_20060831_105811_3_mri_T1,Fail,Fail
mri1848_no_name_20131014_090100_7_mri_T1,Fail,Fail
mri1689_no_name_20121009_124907_2_mri_T1,Fail,Pass
mri1832_no_name_20130829_100302_2_mri_T1,Fail,Pass
mri1013_no_name_20110110_140847_3_mri_T1,Pass,Pass
mri1078_no_name_20130205_125708_2_mri_T1,Pass,Pass
mri1442_no_name_20061013_110103_4_mri_T1,Fail,Fail
mri1042_no_name_20080318_130204_3_mri_T1,Warning,Pass
mri131_no_name_20100709_103502_8_mri_T1,Pass,Pass
mri1139_no_name_20090922_140317_3_mri_T1,Pass,Pass
mri1492_no_name_20071015_123129_3_mri_T1,Fail,Fail
mri1690_no_name_20110826_131122_2_mri_T1,Fail,Pass
mri1102_no_name_20110624_110524_2_mri_T1,Fail,Pass
mri1884_4935_20130605_162835_10_mri_T1,Fail,Pass
mri1874_4935_20130703_160512_9_mri_T1,Pass,Pass
mri1307_no_name_20091022_105948_3_mri_T1,Pass,Pass
mri1708_no_name_20120410_122713_2_mri_T1,Fail,Fail
mri1110_no_name_20090526_143733_3_mri_T1,Pass,Pass
